14/07/2025 20:26:33, Desconhecido, NEGADO
14/07/2025 20:26:34, Desconhecido, NEGADO
14/07/2025 20:26:35, Desconhecido, NEGADO
14/07/2025 20:26:37, Desconhecido, NEGADO
14/07/2025 20:26:38, Desconhecido, NEGADO
14/07/2025 20:26:39, Desconhecido, NEGADO
14/07/2025 20:26:40, Desconhecido, NEGADO
14/07/2025 20:26:42, Desconhecido, NEGADO
14/07/2025 20:27:24, Desconhecido, NEGADO
14/07/2025 20:27:25, Desconhecido, NEGADO
14/07/2025 20:27:26, Desconhecido, NEGADO
14/07/2025 20:27:28, Desconhecido, NEGADO
14/07/2025 20:27:29, Desconhecido, NEGADO
14/07/2025 20:27:30, Desconhecido, NEGADO
14/07/2025 20:39:36, Desconhecido, NEGADO
14/07/2025 20:39:40, Desconhecido, NEGADO
14/07/2025 20:39:42, Desconhecido, NEGADO
14/07/2025 20:39:44, Desconhecido, NEGADO
14/07/2025 20:39:45, Desconhecido, NEGADO
14/07/2025 20:39:47, Desconhecido, NEGADO
14/07/2025 20:39:48, Desconhecido, NEGADO
14/07/2025 20:40:00, Desconhecido, NEGADO
14/07/2025 20:40:01, Desconhecido, NEGADO
14/07/2025 20:40:01, Desconhecido, NEGADO
14/07/2025 20:40:02, gabzz, LIBERADO
18/07/2025 14:45:08, gabzz, LIBERADO
18/07/2025 14:45:14, gabzz, LIBERADO
18/07/2025 14:45:24, gabzz, LIBERADO
20/07/2025 12:57:38, gabzz, LIBERADO
